lat,lon,AADT,year,route,ffc
42.322031,-71.075809,1154,,107533,7
42.322244,-71.075555,1154,,107533,7
42.322648,-71.075173,1154,,107533,7
42.323247,-71.074641,1154,,107533,7
42.433366,-71.093135,1154,,107538,7
42.444128,-71.151274,1154,,107544,7
42.366183,-71.051296,10805,2021,1580,4
42.410324,-71.049896,1154,,107574,7
42.410461,-71.050073,1154,,107574,7
42.32248,-71.114846,1154,,107590,7
42.322708,-71.114326,1154,,107590,7
42.341994,-71.096558,1154,,107607,7
42.342441,-71.0968,1154,,107607,7
42.342868,-71.097016,1154,,107607,7
42.343088,-71.097133,1154,,107607,7
42.343703,-71.097412,1154,,107607,7
42.344108,-71.097623,1154,,107607,7
42.34426,-71.097711,1154,,107607,7
42.256669,-70.963281,1154,,107616,7
42.256249,-70.962681,1154,,107616,7
42.255849,-70.962121,1154,,107616,7
42.255529,-70.961651,1154,,107616,7
42.253339,-70.961041,1154,,107616,7
42.254492,-70.961361,1154,,107616,7
42.255069,-70.961521,1154,,107616,7
42.255509,-70.961651,1154,,107616,7
42.3911,-71.125647,1154,,107618,7
42.422791,-71.017982,1154,,107624,7
42.410353,-71.106977,1154,,107627,7
42.283168,-71.055407,1154,,107628,7
42.283362,-71.053728,1154,,107628,7
42.222619,-71.150341,1154,,107636,7
42.206989,-70.963781,1154,,107639,7
42.383914,-70.992023,1154,,107645,7
42.383928,-70.991463,6034,2021,2304,5
42.271099,-71.177991,1154,,107658,7
42.330875,-71.155272,1154,,107672,7
42.375083,-71.099575,1154,,107674,7
42.374714,-71.098403,1154,,107674,7
42.374706,-71.098379,1154,,107674,7
42.319282,-71.063378,1154,,107681,7
42.319737,-71.064331,1154,,107681,7
42.333536,-71.166766,13003,2017,075,3
42.30572,-71.063389,1154,,107721,7
42.306274,-71.063618,1154,,107721,7
42.306728,-71.063854,1154,,107721,7
42.307678,-71.06435,1154,,107721,7
42.245219,-70.994361,1154,,107730,7
42.246539,-70.993601,1154,,107730,7
42.247294,-70.949088,1154,,107746,7
42.272269,-71.015061,1154,,107751,7
42.272089,-71.013981,1154,,107751,7
42.271929,-71.013131,4166,2021,2987,5
42.271799,-71.012331,1154,,107751,7
42.229469,-70.992141,1154,,107758,7
42.418525,-71.102456,1154,,107762,7
42.41828,-71.101643,1154,,107762,7
42.443251,-71.031818,1154,,107771,7
42.433886,-71.09312,1154,,107780,7
42.433904,-71.093,1154,,107780,7
42.318328,-71.198872,1154,,107781,7
42.318277,-71.196917,1154,,107781,7
42.436283,-71.073359,1154,,107788,7
42.26416,-71.10087,10415,2021,1636,4
42.429859,-71.060186,1154,,107796,7
42.234439,-71.027661,1154,,107808,7
42.233789,-71.025731,1154,,107808,7
42.233476,-71.024748,1154,,107808,7
42.291173,-71.128214,1154,,107812,7
42.420915,-71.110304,1154,,107814,7
42.377744,-71.066494,1154,,107820,7
42.319323,-71.058953,1154,,107832,7
42.319165,-71.05802,1154,,107832,7
42.31909,-71.057165,1154,,107832,7
42.422523,-71.174219,1154,,107887,7
42.395956,-70.989263,1154,,107889,7
42.365518,-71.168713,1154,,107890,7
42.365497,-71.165405,1154,,107890,7
42.365565,-71.16192,1154,,107890,7
42.406863,-71.126953,1154,,107891,7
42.319747,-71.063685,1154,,107893,7
42.34619,-71.152921,1154,,107901,7
42.345918,-71.151647,1154,,107901,7
42.345822,-71.151236,1154,,107901,7
42.345562,-71.150231,1154,,107901,7
42.345363,-71.149418,1154,,107901,7
42.345217,-71.14881,1154,,107901,7
42.344973,-71.147875,1154,,107901,7
42.39715,-71.101523,1154,,107910,7
42.419519,-71.111967,1154,,107934,7
42.332759,-71.145491,1154,,107961,7
42.329489,-71.131581,1154,,107961,7
42.329869,-71.131831,1154,,107961,7
42.330069,-71.132281,1154,,107961,7
42.438254,-71.043419,1154,,107964,7
42.243986,-71.014697,1154,,107969,7
42.243727,-71.015498,1154,,107969,7
42.31435,-71.056325,1154,,107976,7
42.413813,-71.052215,1154,,107977,7
42.414206,-71.052627,1154,,107977,7
42.414983,-71.053666,1154,,107977,7
42.387906,-71.003766,1154,,107979,7
42.336428,-71.076167,1154,,107995,7
42.211799,-71.161021,1154,,108005,7
42.425754,-70.986396,1154,,108011,7
42.425374,-70.98601,1154,,108011,7
42.328356,-71.055408,1154,,108015,7
42.327865,-71.054503,1154,,108015,7
42.327422,-71.053601,1154,,108015,7
42.327246,-71.053241,1154,,108015,7
42.327084,-71.052722,1154,,108015,7
42.327111,-71.052454,1154,,108015,7
42.293642,-71.132764,1154,,108023,7
42.422918,-71.064756,1154,,108039,7
42.355128,-71.136762,1154,,108042,7
42.413707,-71.154479,1154,,108059,7
42.323283,-71.07179,1154,,108064,7
42.359338,-71.183411,1154,,108073,7
42.410086,-71.1076,1154,,108074,7
42.377239,-71.123968,1154,,108080,7
42.377448,-71.123513,1154,,108080,7
42.394385,-71.106205,1154,,108115,7
42.394692,-71.105996,1154,,108115,7
42.395156,-71.105654,1154,,108115,7
42.431558,-71.070912,1154,,108147,7
42.358861,-71.068712,1154,,108155,7
42.358855,-71.069058,1154,,108155A,7
42.36576,-71.108232,1154,,108165,7
42.378242,-70.972206,6228,2021,2303,5
42.416971,-71.156787,1154,,108168,7
42.355378,-71.161673,1154,,108172,7
42.355264,-71.16103,1154,,108172,7
42.354923,-71.159093,1154,,108172,7
42.372734,-71.158365,1154,,108177,7
42.373304,-71.159294,1154,,108177,7
42.373774,-71.159628,1154,,108177,7
42.374212,-71.159662,1154,,108177,7
42.29041,-71.129709,1154,,108188,7
42.359307,-71.069727,1154,,108191,7
42.3593,-71.067708,1154,,108191,7
42.359322,-71.066845,1154,,108191,7
42.359333,-71.066388,1154,,108191,7
42.359349,-71.065971,1154,,108191,7
42.359351,-71.065055,1154,,108191,7
42.359364,-71.064415,1154,,108191,7
42.358194,-71.061323,27221,2021,410,3
42.393019,-71.115746,1154,,108213,7
42.4148,-71.156877,1154,,108217,7
42.414333,-71.155883,1154,,108217,7
42.307452,-71.196804,1154,,108223,7
42.307059,-71.19691,1154,,108223,7
42.306871,-71.197223,1154,,108223,7
42.414085,-71.174384,1154,,108229,7
42.41507,-71.173257,1154,,108229,7
42.415799,-71.172416,1154,,108229,7
42.296948,-71.071315,1154,,108238,7
42.298138,-71.071813,1154,,108238,7
42.298903,-71.072243,1154,,108238,7
42.268131,-71.121406,1154,,108239,7
42.410759,-71.03839,1154,,108250,7
42.263029,-70.979021,1154,,108252,7
42.263399,-70.978191,1154,,108252,7
42.263609,-70.977871,1154,,108252,7
42.404079,-71.168196,1154,,108266,7
42.405402,-71.168058,1154,,108266,7
42.375655,-71.086425,1154,,108271,7
42.375226,-71.200514,1154,,108277,7
42.374847,-71.199475,1154,,108277,7
42.374566,-71.198658,1154,,108277,7
42.374327,-71.19783,1154,,108277,7
42.373986,-71.19646,1154,,108277,7
42.373665,-71.195482,1154,,108277,7
42.373121,-71.194133,4704,2021,2464,5
42.309975,-71.080544,1154,,108284,7
